feature,mean_abs_shap
x1_135000.0,0.0004232678
x14_4033.0,0.00042273305
x19_0.21762852,0.00042248957
x12_122.0,0.00041942438
x19_0.470456116,0.0004167926
x2_2610.9,0.00041610637
x2_2167.2,0.00041415906
x10_0.00963,0.0004141521
x19_0.712155155,0.00041286927
x19_0.577969119,0.0004109403
x19_0.622922,0.000410272
x19_0.073965146,0.00040886996
x2_4169.25,0.0004056738
x19_0.133429254,0.00040258895
x14_4716.0,0.0004009898
x19_0.198620045,0.00039978256
x2_2937.6,0.00039887105
x1_57607.2,0.00039834596
x12_1278.0,0.00039514483
x19_0.200926088,0.00039307683
x18_Restaurant,0.00038918856
x2_2349.45,0.00038799978
x14_4068.0,0.0003874796
x2_2606.4,0.00038700833
x10_0.026392,0.0003867717
x18_Insurance,0.0003831476
x2_2393.1,0.00038280198
x2_1338.75,0.0003808418
x2_1575.0,0.00037711204
x19_0.168416171,0.000373048
x19_0.119877961,0.00037164346
x18_Security,0.00036991696
x2_3855.6,0.0003687217
x19_0.643025564,0.0003687049
x15_Managers,0.00036388927
x2_4544.55,0.00036292314
x2_2275.2,0.00036277168
x10_0.025164,0.00035944744
x12_2310.0,0.0003558336
x13_988.0,0.0003549544
x19_0.253962809,0.00035343715
x18_Business Entity Type 2,0.00035057383
x12_1212.0,0.0003384912
x12_430.0,0.00033232983
x1_104256.0,0.00033231842
x2_2700.0,0.00032859837
x1_115951.5,0.00032638683
x10_0.035792,0.00032583406
x19_0.670651753,0.0003253239
x19_0.735220999,0.00032153036
x1_30813.3,0.0003209141
x19_0.593717587,0.00031817265
x19_0.686382335,0.0003179811
x10_0.008019,0.00031633177
x19_0.215182404,0.00031532682
x18_Cleaning,0.00031317023
x19_0.318595524,0.00031207738
x19_0.312365369,0.00030355222
x1_20250.0,0.0003028705
x2_675.0,0.0003027453
x1_56880.0,0.00030204083
x19_0.337672722,0.00029995345
x19_0.24318648,0.000299308
x14_3935.0,0.00029777605
x5_Junior secondary,0.0002968274
x1_157500.0,0.0002960738
x1_74628.0,0.00029187734
x14_3833.0,0.00029126048
x14_2948.0,0.00028851224
x19_0.72239289,0.0002882377
x1_67500.0,0.00028688624
x14_4058.0,0.0002817719
x0_29250.0,0.00028166894
x19_0.307736696,0.00028119245
x2_4266.0,0.00028014535
x2_3526.2,0.00027996456
x19_0.493862882,0.00027916726
x1_9000.0,0.00027710642
x0_40500.0,0.00027672955
x19_0.32647521,0.00027547477
x19_0.178760465,0.00027318852
x19_0.143758053,0.00027304282
x6_W,0.00027091152
x2_1712.7,0.00027025503
x12_979.0,0.00026977755
x10_0.022625,0.00026392261
x12_466.0,0.0002630439
x2_4617.45,0.00026271603
x2_2310.75,0.00026187964
x19_0.111042402,0.00026165656
x2_3057.3,0.00025523282
x14_1721.0,0.00025360688
x19_0.614414378,0.00025322876
x19_0.083917004,0.00025307506
x13_441.0,0.0002516562
x12_1402.0,0.00025159065
x15_Accountants,0.0002514353
x19_0.124519471,0.0002505916
x1_45034.65,0.0002504225
x2_2191.95,0.00024986552
x2_2377.35,0.00024786213
x10_0.006671,0.00024786053
x19_0.093225095,0.00024720098
x10_0.011657,0.0002471978
x13_5432.0,0.00024704085
x2_2371.5,0.00024491668
x1_5094.0,0.00024438687
x1_29628.0,0.0002439155
x5_Graduation dropout,0.0002434164
x1_53234.55,0.00024137372
x13_593.0,0.00024039036
x12_1843.0,0.00023976633
x14_3952.0,0.00023945613
x1_53910.0,0.00023801364
x14_4044.0,0.00023787684
x19_0.249885063,0.00023607821
x19_0.062103038,0.00023572039
x11_8840.0,0.00023479818
x13_5615.0,0.00023476387
x11_11140.0,0.00023458694
x11_14168.0,0.0002342379
x12_241.0,0.00023331695
x12_234.0,0.0002331316
x19_0.122955418,0.00023023141
x2_3459.6,0.0002296586
x12_1134.0,0.00022806853
x1_78192.0,0.00022753328
x2_3555.45,0.00022723954
x14_348.0,0.00022708769
x2_3645.9,0.000226383
x0_18900.0,0.00022490072
x12_2576.0,0.00022400836
x19_0.135951044,0.00021978626
x1_146761.2,0.00021935129
x13_5530.0,0.00021835677
x2_3561.75,0.0002181226
x19_0.579727423,0.00021778254
x1_33183.45,0.00021600084
x2_5154.3,0.00021579854
x10_0.005002,0.00021187827
x2_2719.35,0.00021159877
x1_79083.0,0.000210818
x19_0.190705948,0.00020892273
